細讀,細讀
粘椒,黏椒
給付判決,給付判決
首席,末席
遷化,歸元
賢相,賢宰相
訓債,訓債
河漢,河漢
單翼工,初翼工
小波拉葉,槲木
自決,自害
氏穀,種穀
師匠,師範
世界地圖,世界地圖
龜兔說,龜兔說
凸彫,浮刻
不運,幸運
晩禾,晩稻
懊惱,懊憹
汎神論,汎神論
使行,使臣行次
絶孫,無後
孫卿,荀子
筵官,筵官
天然林,天然林
公判廷,公判廷
鬱蒸,鬱蒸
鉛筆,鉛筆
壙穴,壙穴
同坐,同座
門隙,門隙
奏聞,奏聞
知能指數,知能指數
警察官廳,警察官廳
洗面道具,洗面具
五服親,有服之親
船埠,津河
公署,廳事
混合經濟,二重經濟
三鐘,三鐘
擧薦,擧薦
僧伽藍摩,寺門
銷殘,銷殘
痛歎,悲歎
烹飪,烹飪
落膽,落膽
爐邊談,爐邊談話
振動音,振動音
義禁府,義禁府
增多,加增
闕廷,九重宮闕
惠顧,惠枉
鎔鑛爐,鎔爐
陳篇,陳編
借金,借錢
鮮紅,祭紅
夕暉,斜日
重刷,重刷
剛堅,剛堅
飴餹,飴餳
暢適,暢適
異形譜,異形譜
牛蝨,牛蝨
致斃,致死
比隣,近隣
關係集團,關係集團
寒泄,寒泄
尊函,尊翰
陸本,陸軍本部
公算,確率
氈笠,紅氈笠
意志,意欲
强迫現像,强迫現像
右揆,端揆
上枋,上引枋
痛憤,痛忿
刎死,剄死
菩薩,當來導師
利子附,利付
廩況,官況
僻地,僻處
不穩當,不穩當
電磁結合,電磁結合
姦淫,姦淫
嚴截,嚴截
京邑,京輦
指示,指示
姦智,奸智
劉奇奴,劉奇奴
爝火,爝火
通信隊,電信隊
紫貂,貂熊
記載,記載
佳氣,瑞氣
同左,同左
未開,文明
獵手,獵夫
穀旦,穀日
陸揚,陸揚
抗菌物質,抗菌物質
良材,良材
物的保險,物的保險
異常性慾,性倒錯
別室,小妻
不可無,不可缺
記名調印,署名捺印
杜宇,蜀鳥
賻儀,奠儀
塵境,俗世
老翁鬚,鷺鷥藤
輪姦,混姦
山獺皮,黑貂皮
佛曲,佛敎音樂
簡易驛,簡易停車場
王侯領,土侯國
競落決定,競落許可決定
邊疆,邊境
聖顔,天顔
臨時方便,臨時變通
四七論,四七辯
群衆心理,大衆心理
磠砂,磠砂
防禦同盟,防禦同盟
懷抱,懷抱
口承文學,口承文學
粘液,黏液
罌粟花,麗春花
山斗,泰山北斗
蒸溜,乾溜
一絃琴,板琴
膝骨,膝蓋骨
匿名,匿名
攝氏,攝氏
評言,評言
補陀落山,補陀落山
水菖蒲,蘭草
饑民,飢民
告身,職牒
子宮,胞宮
娶禮,婚禮
在文,在錢
糜爛,靡爛
帽子標,李花
龍駕,寶駕
刑場,死刑場
子正,零時
潮水,汐水
猛勇,勇猛
域外購買,域外購買
酒妄,酒妄
靑竹,靑竹
烈風,烈風
訓要十條,訓要十條
柴頭,柴頭
月食,月蝕
天安,天安市
勞苦,功苦
卷層雲,高層雲
燭淚,燭淚
津驛,江口
脊椎骨,脊膂
都監寺,庫司
江西,江西
宮嬪,宮嬪
稽顙,稽顙
三日製,三日製
賊匪,賊匪
忍冬草,金銀木
敝國,敝國
南極寒波,南極寒波
慾念,欲念
大司諫,大司諫
屠畜場,屠殺場
沙洲,砂洲
鍊金師,鍊金師
圖鑑,圖鑑
棋風,棋風
相遇禮,相遇禮
化粧料,化粧料
大度,大優
三四半期,三四分期
味覺芽,味覺芽
茶房,茶房
蒺藜子,蒺藜子
公用收用,公用收用
披針形,披針模樣
平方形,正方形
停住,停駐
法庭,法廷
酸性病,酸毒症
孫子,孫兒
彫牆,花紋牆
嗅腦,臭腦
草萊,薄土
人格分裂,人格變換
毛氈,毛氈
弦繕,弦繕
礁湖,礁湖
單核細胞,單核細胞
舒川,舒川郡
二面說,二面說
名目主義,名目主義
元氣,元氣
嘉言,嘉言
正配,嫡妻
擯斥,擯却
反射材,反射材
模樣,模樣
忠州,忠州
遠近畫法,遠近畫法
答狀,答簡
妥帖,妥貼
藍本,原本
稅律,稅法
他座,他席
相遇禮,相互禮
疾風,扶風
喉頭蓋,會厭
佳味,嘉味
帝闕,宮禁
萬國地圖,世界地圖
從享,從享
履行,履行
外憂,外艱喪
酒席,酒席
極放射,極帽
高等法院,高法
讀經臺,聖經臺
神祕說,神祕論
第一胃,瘤胃
冬夏,冬安居
御宮,九重宮闕
相宗,法相宗
精舍,佛寺
迂怪,邪風
凍梨,卒壽
火者,火者
明朝,明朝
鬱金香,鬱金香
陰莖,腎莖
季妹,季妹
弩幢,小司兵
暖氣,暖氣
紫藤香,降眞
閑良飮食,午後閑良
懶惰,懶怠
綜合,綜合
